    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     480       3344.56     0.7219   6.221E+00   1.4000   0.1707   4.781E-17   4.87684235E+00   1.22165519E+01
     485       3372.41     1.0739   6.230E+00   1.4000   0.1732   4.944E-17   4.87597525E+00   1.22111283E+01
     490       3403.37     0.7116   6.200E+00   1.4000   0.1711   4.857E-17   4.87500893E+00   1.22052274E+01
     495       3432.29     1.0492   6.181E+00   1.4000   0.1850   4.554E-17   4.87410542E+00   1.21998846E+01
     500       3462.95     0.7263   6.098E+00   1.4000   0.1828   4.554E-17   4.87314661E+00   1.21938550E+01
     505        3492.3     1.0764   6.099E+00   1.4000   0.1722   5.117E-17   4.87222885E+00   1.21881203E+01
     510       3523.11     0.7153   6.197E+00   1.4000   0.1659   4.770E-17   4.87126528E+00   1.21819292E+01
     515       3552.27     1.0381   6.078E+00   1.4000   0.1574   4.597E-17   4.87035264E+00   1.21762356E+01
     520       3582.63     0.7183   6.133E+00   1.4000   0.1777   4.467E-17   4.86940141E+00   1.21700499E+01
     525       3612.05     1.0974   6.047E+00   1.4000   0.1725   4.163E-17   4.86847738E+00   1.21639535E+01
     530       3642.37     0.7284   6.210E+00   1.4000   0.1718   4.857E-17   4.86752207E+00   1.21572582E+01
     535       3672.46     1.0794   6.364E+00   1.4000   0.1758   4.684E-17   4.86657020E+00   1.21504945E+01
     540       3704.89     0.7025   6.643E+00   1.4000   0.1907   5.031E-17   4.86553974E+00   1.21429974E+01
     545       3733.51     1.0889   6.754E+00   1.4000   0.1922   4.857E-17   4.86462664E+00   1.21367688E+01
     550       3766.74     0.6792   6.651E+00   1.4000   0.1783   4.684E-17   4.86356270E+00   1.21299630E+01
     555       3800.39     1.0803   6.892E+00   1.4000   0.1947   5.725E-17   4.86248378E+00   1.21232552E+01
     560       3834.55     0.7102   5.453E+00   1.1390   0.1351   4.857E-17   4.86138823E+00   1.21162404E+01
     565       3867.05     1.0756   6.780E+00   1.4000   0.1685   4.857E-17   4.86034783E+00   1.21095480E+01
     570          3900     0.6875   6.602E+00   1.4000   0.1866   4.510E-17   4.85929632E+00   1.21028708E+01
     575        3933.2     1.0285   6.571E+00   1.4000   0.2089   5.291E-17   4.85824125E+00   1.20967012E+01
     580          3960     0.7414   6.672E+00   1.4000   0.2151   3.556E-17   4.85739339E+00   1.20922481E+01
     585       3992.75     1.1001   6.365E+00   1.4000   0.2024   5.117E-17   4.85636121E+00   1.20872389E+01
     590          4020     0.6997   6.120E+00   1.4000   0.1845   3.990E-17   4.85550606E+00   1.20834983E+01
     595       4050.02     1.0598   5.845E+00   1.4000   0.1556   4.554E-17   4.85456727E+00   1.20794254E+01
     600       4078.94     0.7392   1.063E+00   0.2599   0.0269   4.640E-17   4.85366656E+00   1.20758852E+01
     605       4102.92     1.0670   5.744E+00   1.4000   0.1578   4.510E-17   4.85292238E+00   1.20734040E+01
     610       4131.73     0.7277   5.782E+00   1.4000   0.1833   4.684E-17   4.85203164E+00   1.20709781E+01
