    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     415       5339.06     0.4811   9.391E-01   0.1097   0.0220   2.255E-17   4.85289876E+00   1.19813805E+01
     420       5387.75     0.4982   1.170E+01   1.4000   0.2868   2.255E-17   4.85168279E+00   1.19779543E+01
     425       5434.82     0.4865   1.134E+01   1.4000   0.2980   2.429E-17   4.85051203E+00   1.19749839E+01
     430       5481.47     0.4834   1.047E+01   1.4000   0.2832   2.125E-17   4.84935539E+00   1.19724862E+01
     435       5529.84     0.4858   9.887E+00   1.4000   0.2695   2.300E-17   4.84815778E+00   1.19702703E+01
     440       5578.32     0.4136   1.681E+00   0.2472   0.0432   2.177E-17   4.84695816E+00   1.19681480E+01
     445        5618.2     0.4810   9.500E+00   1.4000   0.2362   2.689E-17   4.84597092E+00   1.19663611E+01
     450       5659.09     0.4669   9.591E+00   1.4000   0.2420   3.123E-17   4.84495736E+00   1.19644191E+01
     455          5700     0.4188   9.922E+00   1.4000   0.2500   2.515E-17   4.84394133E+00   1.19623333E+01
     460       5750.34     0.4963   9.659E+00   1.2914   0.2618   2.862E-17   4.84268596E+00   1.19595238E+01
     465       5801.93     0.4667   1.037E+01   1.4000   0.2903   2.429E-17   4.84139111E+00   1.19564571E+01
     470       5851.37     0.4981   1.048E+01   1.4000   0.2864   2.429E-17   4.84014047E+00   1.19534148E+01
     475       5901.43     0.4863   1.085E+01   1.4000   0.2743   2.342E-17   4.83886302E+00   1.19502697E+01
     480          5951     0.4873   1.090E+01   1.4000   0.2755   2.114E-17   4.83758593E+00   1.19472661E+01
     485          6000     0.4181   1.063E+01   1.4000   0.2730   2.103E-17   4.83631109E+00   1.19445870E+01
     490       6052.92     0.4912   7.080E+00   0.9323   0.1872   2.342E-17   4.83491973E+00   1.19418749E+01
     495       6102.81     0.4883   1.081E+01   1.4000   0.3003   2.093E-17   4.83359391E+00   1.19393553E+01
     500       6150.97     0.4847   1.013E+01   1.4000   0.2689   2.429E-17   4.83230229E+00   1.19367428E+01
     505       6200.04     0.4864   1.019E+01   1.4000   0.2826   2.819E-17   4.83097501E+00   1.19337403E+01
     510       6250.31     0.4613   1.042E+01   1.4000   0.3082   2.385E-17   4.82960524E+00   1.19301493E+01
     515          6300     0.4043   9.708E+00   1.4000   0.2675   2.817E-17   4.82824331E+00   1.19260228E+01
     520       6347.82     0.4826   9.356E+00   1.4000   0.2552   2.689E-17   4.82692716E+00   1.19215177E+01
     525       6387.84     0.4976   9.304E+00   1.4000   0.2667   2.255E-17   4.82582272E+00   1.19175469E+01
     530        6429.4     0.4741   9.222E+00   1.4000   0.2729   2.342E-17   4.82467384E+00   1.19134058E+01
     535       6475.48     0.4081   4.521E+00   0.6849   0.1326   2.613E-17   4.82339770E+00   1.19088275E+01
     540       6517.28     0.4685   9.528E+00   1.4000   0.2638   2.667E-17   4.82223787E+00   1.19046747E+01
     545       6559.34     0.4978   9.601E+00   1.4000   0.2656   2.645E-17   4.82106870E+00   1.19004825E+01
     550          6600     0.4098   9.863E+00   1.4000   0.2657   2.299E-17   4.81993614E+00   1.18965565E+01
     555       6650.48     0.4892   9.521E+00   1.2841   0.2672   2.255E-17   4.81852621E+00   1.18918864E+01
     560       6700.41     0.4812   9.977E+00   1.4000   0.3034   2.949E-17   4.81712714E+00   1.18874238E+01
     565       6749.94     0.4816   9.844E+00   1.4000   0.3448   2.255E-17   4.81573482E+00   1.18828353E+01
     570       6789.36     0.4850   9.360E+00   1.4000   0.3476   2.429E-17   4.81462471E+00   1.18790462E+01
     575       6835.92     0.4206   4.081E+00   0.6043   0.1311   2.429E-17   4.81331123E+00   1.18743788E+01
     580       6877.08     0.4827   9.232E+00   1.4000   0.2954   2.570E-17   4.81214894E+00   1.18701701E+01
     585       6918.73     0.4814   9.264E+00   1.4000   0.2755   2.515E-17   4.81097179E+00   1.18660027E+01
     590          6960     0.4153   9.516E+00   1.4000   0.2763   2.559E-17   4.80980560E+00   1.18621478E+01
     595       7008.34     0.4764   9.871E+00   1.4000   0.3117   2.689E-17   4.80844010E+00   1.18578451E+01
     600       7049.47     0.4946   9.800E+00   1.4000   0.3152   2.255E-17   4.80727972E+00   1.18542679E+01
     605       7089.97     0.4555   9.886E+00   1.4000   0.3259   2.602E-17   4.80613924E+00   1.18506467E+01
     610          7140     0.4056   1.008E+01   1.4000   0.3183   2.472E-17   4.80473536E+00   1.18461412E+01
     615        7191.2     0.4647   8.805E+00   1.2090   0.2731   2.472E-17   4.80330644E+00   1.18419568E+01
     620        7240.4     0.5019   9.897E+00   1.4000   0.2861   2.374E-17   4.80194297E+00   1.18387161E+01
     625       7289.24     0.4919   9.621E+00   1.4000   0.2890   2.862E-17   4.80059933E+00   1.18360609E+01
     630       7329.53     0.4807   9.493E+00   1.4000   0.2968   2.450E-17   4.79949768E+00   1.18340753E+01
     635       7376.79     0.4288   3.207E+00   0.4746   0.0907   3.036E-17   4.79821193E+00   1.18317017E+01
     640       7417.96     0.4817   9.414E+00   1.4000   0.2688   2.515E-17   4.79709634E+00   1.18295029E+01
     645       7459.14     0.4655   9.602E+00   1.4000   0.2884   2.834E-17   4.79598287E+00   1.18269436E+01
     650          7500     0.3970   9.599E+00   1.4000   0.2769   2.721E-17   4.79487969E+00   1.18238160E+01
     655       7547.87     0.4994   9.612E+00   1.4000   0.2904   2.450E-17   4.79358908E+00   1.18193232E+01
     660       7588.46     0.4883   9.311E+00   1.4000   0.2906   2.819E-17   4.79249628E+00   1.18149233E+01
     665       7629.42     0.4741   9.624E+00   1.4000   0.3139   2.429E-17   4.79139540E+00   1.18098268E+01
     670       7677.56     0.4125   2.439E+00   0.3510   0.0802   2.776E-17   4.79010439E+00   1.18027192E+01
     675       7719.06     0.4895   9.826E+00   1.4000   0.3107   2.255E-17   4.78899445E+00   1.17958329E+01
     680       7759.92     0.4843   1.015E+01   1.4000   0.3157   2.261E-17   4.78790469E+00   1.17888231E+01
     685        7810.2     0.4644   1.019E+01   1.4000   0.3023   3.036E-17   4.78656762E+00   1.17805758E+01
     690          7860     0.4156   1.006E+01   1.4000   0.2931   2.494E-17   4.78524644E+00   1.17731087E+01
     695       7909.89     0.4788   9.747E+00   1.4000   0.2755   2.168E-17   4.78392391E+00   1.17660109E+01
     700       7949.01     0.4914   9.626E+00   1.4000   0.2915   2.862E-17   4.78288623E+00   1.17606475E+01
     705       7989.46     0.5018   9.493E+00   1.4000   0.3044   2.515E-17   4.78181297E+00   1.17554471E+01
     710       8036.53     0.4288   3.469E+00   0.5250   0.1173   2.364E-17   4.78056328E+00   1.17498794E+01
     715       8077.39     0.4772   9.279E+00   1.4000   0.3154   2.515E-17   4.77947874E+00   1.17453844E+01
     720       8118.85     0.4897   9.783E+00   1.4000   0.3250   2.515E-17   4.77837934E+00   1.17409551E+01
     725          8160     0.4086   9.570E+00   1.4000   0.3397   2.689E-17   4.77728947E+00   1.17366257E+01
     730       8207.76     0.4833   9.507E+00   1.4000   0.3060   2.580E-17   4.77602641E+00   1.17319658E+01
     735       8248.22     0.4628   9.487E+00   1.4000   0.3069   2.776E-17   4.77495818E+00   1.17285242E+01
     740       8289.21     0.5001   9.173E+00   1.4000   0.2929   2.645E-17   4.77387687E+00   1.17253238E+01
     745       8335.14     0.4255   4.862E+00   0.7482   0.1710   2.602E-17   4.77266538E+00   1.17216615E+01
     750       8376.45     0.4719   9.231E+00   1.4000   0.3285   2.732E-17   4.77157426E+00   1.17181932E+01
     755       8418.34     0.4770   9.209E+00   1.4000   0.2952   2.559E-17   4.77046401E+00   1.17144674E+01
     760          8460     0.4186   9.334E+00   1.4000   0.3004   2.320E-17   4.76935477E+00   1.17106203E+01
     765       8507.05     0.4916   9.510E+00   1.4000   0.2981   2.602E-17   4.76809427E+00   1.17061282E+01
     770       8549.31     0.4813   9.967E+00   1.4000   0.2892   2.667E-17   4.76695526E+00   1.17021565E+01
     775       8590.23     0.4858   1.035E+01   1.4000   0.3031   2.429E-17   4.76584646E+00   1.16984949E+01
     780          8640     0.4149   1.024E+01   1.4000   0.3331   2.299E-17   4.76449152E+00   1.16948512E+01
     785       8690.85     0.4861   9.148E+00   1.2748   0.3346   2.450E-17   4.76310191E+00   1.16922041E+01
     790       8740.55     0.4826   1.007E+01   1.4000   0.3461   2.515E-17   4.76174042E+00   1.16903892E+01
     795       8789.85     0.5027   1.034E+01   1.4000   0.3223   2.342E-17   4.76038670E+00   1.16888373E+01
     800       8840.46     0.4859   1.033E+01   1.4000   0.3159   2.342E-17   4.75899470E+00   1.16873842E+01
