    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     450       5720.87     0.3821   1.039E+01   1.4000   0.2952   2.168E-17   4.83816634E+00   1.19163567E+01
     455       5770.75     0.3676   1.086E+01   1.4000   0.3032   2.559E-17   4.83682615E+00   1.19103562E+01
     460          5820     0.2189   1.098E+01   1.4000   0.2988   2.017E-17   4.83551731E+00   1.19036657E+01
     465       5876.11     0.4101   3.889E+00   0.4741   0.1041   2.125E-17   4.83404087E+00   1.18953870E+01
     470       5925.16     0.3660   1.129E+01   1.4000   0.2860   2.342E-17   4.83275922E+00   1.18883833E+01
     475       5973.48     0.3828   1.124E+01   1.4000   0.2852   1.995E-17   4.83149973E+00   1.18819977E+01
     480       6022.42     0.3753   1.124E+01   1.4000   0.2678   2.385E-17   4.83022278E+00   1.18760729E+01
     485       6071.31     0.3682   1.138E+01   1.4000   0.2577   2.299E-17   4.82894160E+00   1.18707528E+01
     490          6120     0.2190   1.167E+01   1.4000   0.2589   2.429E-17   4.82765782E+00   1.18662665E+01
     495       6178.77     0.3911   1.227E+00   0.1525   0.0327   2.353E-17   4.82609725E+00   1.18620773E+01
     500          6224     0.3929   1.065E+01   1.4000   0.3038   2.515E-17   4.82488860E+00   1.18598542E+01
     505       6271.39     0.3732   1.035E+01   1.4000   0.2890   2.277E-17   4.82361515E+00   1.18582514E+01
     510       6320.37     0.3863   9.969E+00   1.4000   0.2502   2.515E-17   4.82229160E+00   1.18571873E+01
     515        6369.8     0.4118   9.931E+00   1.4000   0.2609   2.532E-17   4.82094735E+00   1.18565770E+01
     520       6419.08     0.2205   9.234E-01   0.1317   0.0270   2.906E-17   4.81959947E+00   1.18561818E+01
     525       6459.54     0.3558   9.978E+00   1.4000   0.2934   2.266E-17   4.81848744E+00   1.18557969E+01
     530       6500.11     0.3968   1.014E+01   1.4000   0.3056   2.441E-17   4.81736885E+00   1.18551466E+01
